"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"387032091","title","ANGHP08S","0","0","0","1","0"
"387032091","application","2","0","0","0","1","0"
"387032091","indoor","0","0","0","0","1","0"
"387032091","outdoor","1","0","0","0","1","0"
"387032091","coolingMode7c12c","0","0","0","0","1","0"
"387032091","coolingMode18c23c","0","0","0","0","1","0"
"387032091","colderClimate","0","0","0","0","1","0"
"387032091","warmerClimate","0","0","0","0","1","0"
"387032091","reversibility","1","0","0","0","1","0"
"387032091","colderForHeating","0","0","0","0","1","0"
"387032091","warmerForHeating","0","0","0","0","1","0"
"387032091","en145112Certification","0","0","0","0","1","0"
"387032091","heatSource","0","0","0","0","1","0"
"387032091","additionalOutdoorAir","0","0","0","0","1","0"
"387032091","additionalExhaustAir","0","0","0","0","1","0"
"387032091","additionalIndoorAir","0","0","0","0","1","0"
"387032091","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"387032091","powerSupply","1","0","0","0","1","0"
"387032091","offPeakProduct","0","0","0","0","1","0"
"387032091","EN14511_2_001","8.15","4","10","0","2","0"
"387032091","EN14511_2_001","8.28","5","10","0","2","0"
"387032091","EN14511_2_002","1.73","4","10","0","2","0"
"387032091","EN14511_2_002","2.74","5","10","0","2","0"
"387032091","EN14511_2_003","4.71","4","10","0","2","0"
"387032091","EN14511_2_003","3.02","5","10","0","2","0"
"387032091","EN14511_4_003","2","0","10","0","2","0"
"387032091","EN14511_4_004","2","0","10","0","2","0"
"387032091","EN14511_4_005","2","0","10","0","2","0"
"387032091","EN14511_4_006","2","0","10","0","2","0"
"387032091","EN12102_1_002","50","4","3","0","2","0"
"387032091","EN12102_1_002","53","5","3","0","2","0"
"387032091","EN14825_001","188","4","3","0","2","0"
"387032091","EN14825_001","148","5","3","0","2","0"
"387032091","EN14825_002","7.50","4","3","0","2","0"
"387032091","EN14825_002","6.50","5","3","0","2","0"
"387032091","EN14825_003","4.78","4","3","0","2","0"
"387032091","EN14825_003","3.78","5","3","0","2","0"
"387032091","EN14825_004","-7","4","3","0","2","0"
"387032091","EN14825_004","-7","5","3","0","2","0"
"387032091","EN14825_005","-10","4","3","0","2","0"
"387032091","EN14825_005","-10","5","3","0","2","0"
"387032091","EN14825_008","7.02","4","3","0","2","0"
"387032091","EN14825_008","6.01","5","3","0","2","0"
"387032091","EN14825_009","2.59","4","3","0","2","0"
"387032091","EN14825_009","2.26","5","3","0","2","0"
"387032091","EN14825_047","0.900","4","3","0","2","0"
"387032091","EN14825_047","0.900","5","3","0","2","0"
"387032091","EN14825_010","3.83","4","3","0","2","0"
"387032091","EN14825_010","3.26","5","3","0","2","0"
"387032091","EN14825_011","4.98","4","3","0","2","0"
"387032091","EN14825_011","3.75","5","3","0","2","0"
"387032091","EN14825_048","0.900","4","3","0","2","0"
"387032091","EN14825_048","0.900","5","3","0","2","0"
"387032091","EN14825_012","2.61","4","3","0","2","0"
"387032091","EN14825_012","2.25","5","3","0","2","0"
"387032091","EN14825_013","6.18","4","3","0","2","0"
"387032091","EN14825_013","4.90","5","3","0","2","0"
"387032091","EN14825_049","0.900","4","3","0","2","0"
"387032091","EN14825_049","0.900","5","3","0","2","0"
"387032091","EN14825_014","2.33","4","3","0","2","0"
"387032091","EN14825_014","2.35","5","3","0","2","0"
"387032091","EN14825_015","7.63","4","3","0","2","0"
"387032091","EN14825_015","6.78","5","3","0","2","0"
"387032091","EN14825_050","0.900","4","3","0","2","0"
"387032091","EN14825_050","0.900","5","3","0","2","0"
"387032091","EN14825_016","7.02","4","3","0","2","0"
"387032091","EN14825_016","6.01","5","3","0","2","0"
"387032091","EN14825_017","2.59","4","3","0","2","0"
"387032091","EN14825_017","2.26","5","3","0","2","0"
"387032091","EN14825_018","6.91","4","3","0","2","0"
"387032091","EN14825_018","5.99","5","3","0","2","0"
"387032091","EN14825_019","2.47","4","3","0","2","0"
"387032091","EN14825_019","1.94","5","3","0","2","0"
"387032091","EN14825_021","0.900","4","3","0","2","0"
"387032091","EN14825_021","0.900","5","3","0","2","0"
"387032091","EN14825_022","75","4","3","0","2","0"
"387032091","EN14825_022","75","5","3","0","2","0"
"387032091","EN14825_023","6","4","3","0","2","0"
"387032091","EN14825_023","6","5","3","0","2","0"
"387032091","EN14825_024","6","4","3","0","2","0"
"387032091","EN14825_024","6","5","3","0","2","0"
"387032091","EN14825_025","6","4","3","0","2","0"
"387032091","EN14825_025","6","5","3","0","2","0"
"387032091","EN14825_026","0","4","3","0","2","0"
"387032091","EN14825_026","0","5","3","0","2","0"
"387032091","EN14825_027","1","4","3","0","2","0"
"387032091","EN14825_027","1","5","3","0","2","0"
"387032091","EN14825_028","0.59","4","3","0","2","0"
"387032091","EN14825_028","0.51","5","3","0","2","0"
"387032091","EN14825_029","3241","4","3","0","2","0"
"387032091","EN14825_029","3556","5","3","0","2","0"
"387032092","title","ANGHP08T","0","0","0","1","0"
"387032092","application","2","0","0","0","1","0"
"387032092","indoor","0","0","0","0","1","0"
"387032092","outdoor","1","0","0","0","1","0"
"387032092","coolingMode7c12c","0","0","0","0","1","0"
"387032092","coolingMode18c23c","0","0","0","0","1","0"
"387032092","colderClimate","0","0","0","0","1","0"
"387032092","warmerClimate","0","0","0","0","1","0"
"387032092","reversibility","1","0","0","0","1","0"
"387032092","colderForHeating","0","0","0","0","1","0"
"387032092","warmerForHeating","0","0","0","0","1","0"
"387032092","en145112Certification","0","0","0","0","1","0"
"387032092","heatSource","0","0","0","0","1","0"
"387032092","additionalOutdoorAir","0","0","0","0","1","0"
