variant_key,file,total_points,-15C,-7C,+2C,+7C,+12C,TOL
Acond_a_s__Acond_PRO-R_Outdoor_Air_Water_8::Acond PRO-R SP,Acond_a_s__Acond_PRO-R_Outdoor_Air_Water_8.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-290_0106_Outdoor_Air_Water_4::i-290 0106,Advantix_S_p_A__i-290_0106_Outdoor_Air_Water_4.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-290_0115-0118_Outdoor_Air_Water_5::i-290 0115,Advantix_S_p_A__i-290_0115-0118_Outdoor_Air_Water_5.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-290_0115-0118_Outdoor_Air_Water_5::i-290 0118,Advantix_S_p_A__i-290_0115-0118_Outdoor_Air_Water_5.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-290_0121-0123_Outdoor_Air_Water_6::i-290 0121,Advantix_S_p_A__i-290_0121-0123_Outdoor_Air_Water_6.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-290_0121-0123_Outdoor_Air_Water_6::i-290 0123,Advantix_S_p_A__i-290_0121-0123_Outdoor_Air_Water_6.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-290_0125-0127_Outdoor_Air_Water_7::i-290 0125,Advantix_S_p_A__i-290_0125-0127_Outdoor_Air_Water_7.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-290_0125-0127_Outdoor_Air_Water_7::i-290 0127,Advantix_S_p_A__i-290_0125-0127_Outdoor_Air_Water_7.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V514_Outdoor_Air_Water_12::i-32V5/KA/14,Advantix_S_p_A__i-32V514_Outdoor_Air_Water_12.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V514_Outdoor_Air_Water_12::i-32V5/KA/14T,Advantix_S_p_A__i-32V514_Outdoor_Air_Water_12.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V514_Outdoor_Air_Water_12::i-32V514,Advantix_S_p_A__i-32V514_Outdoor_Air_Water_12.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V514_Outdoor_Air_Water_12::i-32V514T,Advantix_S_p_A__i-32V514_Outdoor_Air_Water_12.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5H_MIDI_0121_-0126_Outdoor_Air_Water_13::i-32V5H MIDI 0121,Advantix_S_p_A__i-32V5H_MIDI_0121_-0126_Outdoor_Air_Water_13.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5H_MIDI_0121_-0126_Outdoor_Air_Water_13::i-32V5H MIDI 0126,Advantix_S_p_A__i-32V5H_MIDI_0121_-0126_Outdoor_Air_Water_13.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5H_MIDI_0128_-0132_Outdoor_Air_Water_14::i-32V5H MIDI 0128,Advantix_S_p_A__i-32V5H_MIDI_0128_-0132_Outdoor_Air_Water_14.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5H_MIDI_0128_-0132_Outdoor_Air_Water_14::i-32V5H MIDI 0132,Advantix_S_p_A__i-32V5H_MIDI_0128_-0132_Outdoor_Air_Water_14.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5_04_Outdoor_Air_Water_8::i-32V5/KA/04,Advantix_S_p_A__i-32V5_04_Outdoor_Air_Water_8.json,8,0,2,2,2,2,0
Advantix_S_p_A__i-32V5_04_Outdoor_Air_Water_8::i-32V504,Advantix_S_p_A__i-32V5_04_Outdoor_Air_Water_8.json,8,0,2,2,2,2,0
Advantix_S_p_A__i-32V5_06_08_A_Outdoor_Air_Water_10::i-32V5/KA/06 A,Advantix_S_p_A__i-32V5_06_08_A_Outdoor_Air_Water_10.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5_06_08_A_Outdoor_Air_Water_10::i-32V5/KA/08 A,Advantix_S_p_A__i-32V5_06_08_A_Outdoor_Air_Water_10.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5_06_08_A_Outdoor_Air_Water_10::i-32V506 A,Advantix_S_p_A__i-32V5_06_08_A_Outdoor_Air_Water_10.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5_06_08_A_Outdoor_Air_Water_10::i-32V508 A,Advantix_S_p_A__i-32V5_06_08_A_Outdoor_Air_Water_10.json,10,0,2,2,2,2,2
